,datePublished,id,publicationYear,anSQL,aSQL
0,2009-01-01,ark://27927/pbd1pgqfbnb,2009,1,0
1,2015-01-01,ark://27927/pbd1pgrrq8r,2015,1,0
2,2009-01-01,ark://27927/pbd6bn866k,2009,0,1
3,2011-01-01,ark://27927/pbd6bvp8dh,2011,1,0
4,2009-01-01,ark://27927/pbd6f4pcdd,2009,0,1
5,2009-01-01,ark://27927/pbd6fsddcn,2009,0,1
6,2009-01-01,ark://27927/pbd6h10njw,2009,0,1
7,2009-01-01,ark://27927/pbd6h9n14t,2009,1,1
8,2007-01-01,ark://27927/pbd81b508x,2007,0,1
9,2012-01-01,ark://27927/pbd82rtnch,2012,0,1
10,2010-01-01,ark://27927/pbd867n15s,2010,1,0
11,2012-01-01,ark://27927/pbd98gqdh5,2012,1,1
12,2009-01-01,ark://27927/pbd98kxd3w,2009,1,0
13,2009-01-01,ark://27927/pbd992rdf0,2009,1,0
14,2010-02-25,ark://27927/pbd9dh0bqt,2010,1,0
15,2011-03-16,ark://27927/pbd9dh363x,2011,0,1
16,2004-11-30,ark://27927/pbd9dj340t,2004,1,0
17,2000-09-15,ark://27927/pbd9djqjkg,2000,1,0
18,2008-10-06,ark://27927/pbf42gccbx,2008,1,0
19,2005-05-01,ark://27927/pc0156h05v,2005,1,0
20,2005-04-01,ark://27927/pc015889h2,2005,1,0
21,2005-07-01,ark://27927/pc016f8fqj,2005,0,1
22,2005-06-01,ark://27927/pc016ff24p,2005,1,0
23,2005-02-01,ark://27927/pc016ffh3f,2005,1,0
24,2006-05-01,ark://27927/pc01qc19g,2006,1,0
25,2006-01-01,ark://27927/pc01z0xgn,2006,1,0
26,2006-05-01,ark://27927/pc044rj4st,2006,0,1
27,1998-08-01,ark://27927/pc0468zd04,1998,1,0
28,1998-01-01,ark://27927/pc0489cssw,1998,0,1
29,1998-10-01,ark://27927/pc048dn8hb,1998,1,0
30,1999-07-10,ark://27927/pc04q44dgn,1999,1,0
31,2003-07-10,ark://27927/pc04xx4sc6,2003,0,1
32,2005-01-01,ark://27927/pc053xtp3t,2005,1,0
33,1999-06-15,ark://27927/pc054kpr6s,1999,1,0
34,2005-07-01,ark://27927/pc054prbg8,2005,1,0
35,1999-06-01,ark://27927/pc0573sph5,1999,1,0
36,2002-10-01,ark://27927/pc05d21wr9,2002,1,0
37,2002-11-01,ark://27927/pc05htxz0s,2002,1,0
38,2003-06-01,ark://27927/pc05hv6n0f,2003,1,0
39,2002-01-01,ark://27927/pc05hw08cj,2002,1,0
40,2002-01-01,ark://27927/pc05hw08fk,2002,1,0
41,2002-01-01,ark://27927/pc05hw9qq1,2002,0,1
42,2004-12-01,ark://27927/pc05jb6mwk,2004,1,0
43,2007-07-25,ark://27927/pc08rz1qmd,2007,0,1
44,1997-04-01,ark://27927/pc0bpcqc4,1997,1,0
45,2000-01-01,ark://27927/pc0ccxs1r,2000,0,1
46,2000-01-01,ark://27927/pc0ccxsfj,2000,0,1
47,2000-01-01,ark://27927/pc0ccxsnf,2000,0,1
48,2000-01-01,ark://27927/pc0ccxt0q,2000,0,1
49,2000-01-01,ark://27927/pc0ccxt54,2000,0,1
50,2000-01-01,ark://27927/pc0cd27zn,2000,1,0
51,1999-09-01,ark://27927/pc0dd7fg0,1999,1,1
52,2007-10-01,ark://27927/pc0dnf6x9x,2007,0,1
53,2007-10-01,ark://27927/pc0dnf6xf0,2007,0,1
54,1999-01-01,ark://27927/pc0dtks1w,1999,1,0
55,2000-10-01,ark://27927/pc0dvpd03,2000,1,0
56,2007-04-10,ark://27927/pc0ktrxx1,2007,1,0
